Flux1,Flux2,Flux3,Flux4,Flux5,Flux6,Flux7,Flux8,Flux9,Flux10,Flux11,Flux12,Time,Depths,Mstats
0.6086090593645428,0.6385846951663045,0.6698331874898167,0.7041559875869121,0.7383401946252125,0.7751026788233966,0.8148215629414456,0.8518714851138492,0.8927820976102137,0.9353055427392688,0.9818743916374656,0.9936355279980889,19.60383809562723,,
0.6223901781307181,0.6521689330220046,0.6831438342410983,0.7171572501638409,0.7510016285778863,0.7873960532430537,0.8265863026062138,0.8631429835243458,0.9033942723262294,0.9450568224222676,0.9902796368821716,1.0014321536699078,19.624670844949147,,
0.6236415944128314,0.6532485488326112,0.6839651459079934,0.7176611763559259,0.7511673080699879,0.7871815187073331,0.8258611780833482,0.8619147591044267,0.9015084664489271,0.9423178685697025,0.9862047790779006,0.9967509850710056,19.645503592377967,,
0.6302211416726679,0.6596475632431138,0.6901333476898011,0.7235049709554882,0.7566680465950237,0.7922812911616871,0.8304811558054739,0.8660330533681813,0.9049770331875724,0.9449257376986856,0.987485578637794,0.9974267852205498,19.666336337856137,,
0.6320279429207956,0.6612548154523088,0.6915239469403092,0.7245731775783228,0.7573919589024176,0.7925882314478341,0.8303314480395422,0.8653681468438827,0.9036733164726852,0.9427815469857874,0.9840172509352344,0.993343994195597,19.68716908135139,,
0.6419987902909758,0.6710164650236027,0.7010569711683955,0.7337861332719671,0.7662715017023709,0.8010520378348707,0.8383427528707472,0.8728647902143979,0.9105242507797296,0.9488062799099032,0.9887192437787689,0.9974483313269612,19.708001822859387,,
0.6505142719743318,0.6793016910430247,0.7091091152477895,0.7415103290647407,0.7736738125404974,0.8080445108464018,0.8448943115819063,0.8789099995999133,0.9159263923042608,0.9533618015796602,0.9919320338957996,1.0000860895450792,19.728834562398106,,
0.6617848081957958,0.6903181201643536,0.7198796795879168,0.7519499742325809,0.7838017653850333,0.8177699562798434,0.8541937200878005,0.8876877071027895,0.9240778909632024,0.9606768955536844,0.9979012294201264,1.0054078481819164,19.74966730001097,,
0.6645934392253053,0.6928701655573088,0.7221558797945126,0.7538963805316643,0.7854456897121191,0.8190232450643551,0.8550017934887408,0.8879795682577051,0.9237446473018744,0.9595147302088174,0.9954048443665484,1.0022749736019294,19.770500035770056,,
0.6661017014885152,0.6941343317392645,0.7231328657552307,0.754546442192951,0.7857911162829242,0.8189884355075976,0.8544966363862009,0.8869647403513083,0.9221045807602132,0.9570120354121572,0.9915535795969032,0.9978087544065676,19.79133276976677,,
